job_title_clean,experience_years_clean,location_group,work_mode_clean,level_clean,salary_target
front end engineer,0.5,Egypt,On-Site,Junior,12000.0
front end engineer,6.0,Egypt,On-Site,Senior,150000.0
back end engineer,1.5,Egypt,On-Site,Junior,18000.0
full stack engineer,1.5,Egypt,On-Site,Junior,12500.0
back end engineer,0.5,Egypt,On-Site,Junior,15000.0
front end engineer,4.0,Egypt,On-Site,Senior,30000.0
front end engineer,1.5,Egypt,On-Site,Junior,20000.0
front end engineer,2.5,Egypt,On-Site,Mid-Level,50000.0
full stack engineer,1.5,Egypt,On-Site,Junior,9000.0
front end engineer,2.5,Egypt,On-Site,Mid-Level,30000.0
front end engineer,6.0,Egypt,On-Site,Senior,50000.0
back end engineer,7.0,Egypt,On-Site,Senior,60000.0
full stack engineer,2.5,Egypt,On-Site,Senior,75000.0
software testing engineer,1.5,Egypt,On-Site,Junior,20000.0
back end engineer,2.5,Egypt,On-Site,Junior,14400.0
full stack engineer,0.5,Egypt,On-Site,Junior,50000.0
front end engineer,1.5,Egypt,On-Site,Mid-Level,20000.0
front end engineer,1.5,Egypt,On-Site,Junior,25000.0
front end engineer,2.5,Egypt,On-Site,Mid-Level,13000.0
front end engineer,0.5,Egypt,On-Site,Junior,6000.0
full stack engineer,0.5,Egypt,On-Site,Junior,10000.0
full stack engineer,4.0,Egypt,On-Site,Senior,75000.0
front end engineer,1.5,Egypt,On-Site,Junior,25000.0
back end engineer,1.5,Egypt,On-Site,Junior,9000.0
front end engineer,4.0,Egypt,On-Site,Senior,105000.0
full stack engineer,4.0,Egypt,On-Site,Mid-Level,77000.0
front end engineer,4.0,Egypt,On-Site,Mid-Level,25000.0
front end engineer,4.0,Egypt,On-Site,Mid-Level,16000.0
front end engineer,4.0,Egypt,On-Site,Senior,100000.0
full stack engineer,0.5,Egypt,On-Site,Junior,12500.0
back end engineer,0.5,Egypt,On-Site,Junior,13000.0
full stack engineer,0.5,Egypt,On-Site,Junior,8000.0
full stack engineer,1.5,Egypt,On-Site,Junior,80000.0
front end engineer,2.5,Egypt,On-Site,Mid-Level,40000.0
back end engineer,0.5,Egypt,On-Site,Junior,12000.0
full stack engineer,2.5,Egypt,On-Site,Mid-Level,45000.0
back end engineer,1.5,Egypt,On-Site,Mid-Level,20000.0
front end engineer,4.0,Egypt,On-Site,Mid-Level,50000.0
full stack engineer,6.0,Egypt,On-Site,Mid-Level,130000.0
software testing engineer,4.0,Egypt,On-Site,Senior,70000.0
front end engineer,0.5,Egypt,On-Site,Junior,17200.0
front end engineer,4.0,Egypt,On-Site,Mid-Level,40000.0
front end engineer,2.5,Egypt,On-Site,Mid-Level,23000.0
front end engineer,1.5,Egypt,On-Site,Junior,14000.0
full stack engineer,7.0,Egypt,On-Site,Lead/Manager,80000.0
back end engineer,1.5,Egypt,On-Site,Junior,8000.0
front end engineer,1.5,Egypt,On-Site,Junior,3500.0
software testing engineer,1.5,Egypt,On-Site,Junior,17000.0
front end engineer,4.0,Egypt,On-Site,Senior,50000.0
back end engineer,4.0,Egypt,On-Site,Mid-Level,37500.0
front end engineer,6.0,Egypt,On-Site,Senior,120000.0
back end engineer,1.5,Egypt,On-Site,Junior,6500.0
full stack engineer,2.5,Egypt,On-Site,Junior,27200.0
full stack engineer,0.5,Egypt,On-Site,Junior,12000.0
front end engineer,2.5,Egypt,On-Site,Mid-Level,18000.0
full stack engineer,1.5,Egypt,On-Site,Junior,20000.0
software testing engineer,2.5,Egypt,On-Site,Mid-Level,30000.0
software testing engineer,2.5,Egypt,On-Site,Mid-Level,92500.0
front end engineer,4.0,Egypt,On-Site,Mid-Level,35000.0
front end engineer,7.0,Egypt,On-Site,Senior,26000.0
full stack engineer,4.0,Egypt,On-Site,Mid-Level,39000.0
back end engineer,1.5,Egypt,On-Site,Junior,21000.0
back end engineer,1.5,Egypt,On-Site,Junior,39545.0
front end engineer,0.5,Egypt,On-Site,Junior,13000.0
back end engineer,15.0,Egypt,On-Site,Lead/Manager,78000.0
front end engineer,1.5,Egypt,On-Site,Junior,9000.0
front end engineer,1.5,Egypt,On-Site,Junior,19250.0
front end engineer,2.5,Egypt,On-Site,Junior,30000.0
front end engineer,1.5,Egypt,On-Site,Junior,17000.0
back end engineer,6.0,Egypt,On-Site,Lead/Manager,70500.0
back end engineer,7.0,Egypt,On-Site,Senior,95000.0
front end engineer,0.5,Egypt,On-Site,Junior,4000.0
back end engineer,7.0,Egypt,On-Site,Lead/Manager,250000.0
front end engineer,7.0,Egypt,On-Site,Mid-Level,12000.0
back end engineer,4.0,Egypt,On-Site,Senior,72000.0
front end engineer,1.5,Egypt,On-Site,Junior,15000.0
full stack engineer,6.0,Egypt,On-Site,Senior,75000.0
full stack engineer,0.5,Egypt,On-Site,Junior,18000.0
full stack engineer,1.5,Egypt,On-Site,Junior,13000.0
back end engineer,1.5,Egypt,On-Site,Junior,30000.0
full stack engineer,7.0,Egypt,On-Site,Lead/Manager,65000.0
