job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean
front end engineer,12000.0,0.5,Unknown,Unknown,Junior
front end engineer,150000.0,6.0,Unknown,Unknown,Senior
back end engineer,18000.0,1.5,Unknown,Unknown,Junior
full stack engineer,12.5,1.5,Unknown,Unknown,Junior
back end engineer,15000.0,0.5,Unknown,Unknown,Junior
front end engineer,30000.0,4.0,Unknown,Unknown,Senior
front end engineer,20000.0,1.5,Unknown,Unknown,Junior
front end engineer,50.0,2.5,Unknown,Unknown,Mid-Level
full stack engineer,9000.0,1.5,Unknown,Unknown,Junior
front end engineer,30000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,50000.0,6.0,Unknown,Unknown,Senior
back end engineer,60000.0,7.0,Unknown,Unknown,Senior
full stack engineer,75000.0,2.5,Unknown,Unknown,Senior
"tester (manual, automation, api, selenium, playwright, ect..)",20000.0,1.5,Unknown,Unknown,Junior
back end engineer,14400.0,2.5,Unknown,Unknown,Junior
full stack engineer,50000.0,0.5,Unknown,Unknown,Junior
front end engineer,20000.0,1.5,Unknown,Unknown,Mid-Level
front end engineer,25000.0,1.5,Unknown,Unknown,Junior
front end engineer,13000.0,2.5,Unknown,Unknown,Mid-Level
front end engineer,6000.0,0.5,Unknown,Unknown,Junior
full stack engineer,10000.0,0.5,Unknown,Unknown,Junior
full stack engineer,75000.0,4.0,Unknown,Unknown,Senior
front end engineer,25.0,1.5,Unknown,Unknown,Junior
back end engineer,9000.0,1.5,Unknown,Unknown,Junior
front end engineer,105000.0,4.0,Unknown,Unknown,Senior
full stack engineer,77000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,25000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,16000.0,4.0,Unknown,Unknown,Mid-Level
front end engineer,100000.0,4.0,Unknown,Unknown,Senior
full stack engineer,12500.0,0.5,Unknown,Unknown,Junior
back end engineer,13000.0,0.5,Unknown,Unknown,Junior
full stack engineer,8000.0,0.5,Unknown,Unknown,Junior
full stack engineer,80000.0,1.5,Unknown,Unknown,Junior
front end engineer,40000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,12000.0,0.5,Unknown,Unknown,Junior
full stack engineer,45000.0,2.5,Unknown,Unknown,Mid-Level
back end engineer,20000.0,1.5,Unknown,Unknown,Mid-Level
