job_title_clean,salary_target,experience_years_clean,location_clean,work_mode_clean,level_clean,job_title_standardized
front end engineer,12000.0,0.5,Unknown,Unknown,Junior,front end engineer
front end engineer,150000.0,6.0,Unknown,Unknown,Senior,front end engineer
back end engineer,18000.0,1.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,12500.0,1.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,15000.0,0.5,Unknown,Unknown,Junior,back end engineer
front end engineer,30000.0,4.0,Unknown,Unknown,Senior,front end engineer
front end engineer,20000.0,1.5,Unknown,Unknown,Junior,front end engineer
front end engineer,50000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,9000.0,1.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,30000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,50000.0,6.0,Unknown,Unknown,Senior,front end engineer
back end engineer,60000.0,7.0,Unknown,Unknown,Senior,back end engineer
full stack engineer,75000.0,2.5,Unknown,Unknown,Senior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",20000.0,1.5,Unknown,Unknown,Junior,software testing engineer
back end engineer,14400.0,2.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,50000.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,20000.0,1.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,25000.0,1.5,Unknown,Unknown,Junior,front end engineer
front end engineer,13000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,6000.0,0.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,10000.0,0.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,75000.0,4.0,Unknown,Unknown,Senior,full stack engineer
front end engineer,25000.0,1.5,Unknown,Unknown,Junior,front end engineer
back end engineer,9000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,105000.0,4.0,Unknown,Unknown,Senior,front end engineer
full stack engineer,77000.0,4.0,Unknown,Unknown,Mid-Level,full stack engineer
front end engineer,25000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,16000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,100000.0,4.0,Unknown,Unknown,Senior,front end engineer
full stack engineer,12500.0,0.5,Unknown,Unknown,Junior,full stack engineer
back end engineer,13000.0,0.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,8000.0,0.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,80000.0,1.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,40000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
back end engineer,12000.0,0.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,45000.0,2.5,Unknown,Unknown,Mid-Level,full stack engineer
back end engineer,20000.0,1.5,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,50000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,130000.0,6.0,Unknown,Unknown,Mid-Level,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",70000.0,4.0,Unknown,Unknown,Senior,software testing engineer
front end engineer,17200.0,0.5,Unknown,Unknown,Junior,front end engineer
front end engineer,40000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,23000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,14000.0,1.5,Unknown,Unknown,Junior,front end engineer
full stack engineer,80000.0,7.0,Unknown,Unknown,Lead/Manager,full stack engineer
back end engineer,8000.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,3500.0,1.5,Unknown,Unknown,Junior,front end engineer
"tester (manual, automation, api, selenium, playwright, ect..)",17000.0,1.5,Unknown,Unknown,Junior,software testing engineer
front end engineer,50000.0,4.0,Unknown,Unknown,Senior,front end engineer
back end engineer,37500.0,4.0,Unknown,Unknown,Mid-Level,back end engineer
front end engineer,120000.0,6.0,Unknown,Unknown,Senior,front end engineer
back end engineer,6500.0,1.5,Unknown,Unknown,Junior,back end engineer
full stack engineer,27200.0,2.5,Unknown,Unknown,Junior,full stack engineer
full stack engineer,12000.0,0.5,Unknown,Unknown,Junior,full stack engineer
front end engineer,18000.0,2.5,Unknown,Unknown,Mid-Level,front end engineer
full stack engineer,20000.0,1.5,Unknown,Unknown,Junior,full stack engineer
"tester (manual, automation, api, selenium, playwright, ect..)",30000.0,2.5,Unknown,Unknown,Mid-Level,software testing engineer
"tester (manual, automation, api, selenium, playwright, ect..)",92500.0,2.5,Unknown,Unknown,Mid-Level,software testing engineer
front end engineer,35000.0,4.0,Unknown,Unknown,Mid-Level,front end engineer
front end engineer,26000.0,7.0,Unknown,Unknown,Senior,front end engineer
full stack engineer,39000.0,4.0,Unknown,Unknown,Mid-Level,full stack engineer
back end engineer,21000.0,1.5,Unknown,Unknown,Junior,back end engineer
back end engineer,39545.0,1.5,Unknown,Unknown,Junior,back end engineer
front end engineer,13000.0,0.5,Unknown,Unknown,Junior,front end engineer
back end engineer,78000.0,15.0,Unknown,Unknown,Lead/Manager,back end engineer
front end engineer,9000.0,1.5,Unknown,Unknown,Junior,front end engineer
front end engineer,19250.0,1.5,Unknown,Unknown,Junior,front end engineer
front end engineer,30000.0,2.5,Unknown,Unknown,Junior,front end engineer
