job_title,experience_years,salary_original,currency_original,currency_detected,salary_original_numeric,salary_mid,work_mode,city,salary_date,source_name
.net developer,2.0,8000,EGP,EGP,8000.0,8000.0,Hybird,cairo,2024-02-01,Kaggle_Developers_Salaries_in_2024
android developer,0.0,6000,EGP,EGP,6000.0,6000.0,Hybird,assiut,2024-02-06,Kaggle_Developers_Salaries_in_2024
android developer,1.0,10000,EGP,EGP,10000.0,10000.0,Hybird,cairo,2024-02-20,Kaggle_Developers_Salaries_in_2024
devops engineer,0.1,10000,EGP,EGP,10000.0,10000.0,On Site,assiut,2024-02-19,Kaggle_Developers_Salaries_in_2024
java developer,1.0,20000,EGP,EGP,20000.0,20000.0,On Site,cairo,2024-02-19,Kaggle_Developers_Salaries_in_2024
r&d computer vision,1.0,15000,EGP,EGP,15000.0,15000.0,Remotley,cairo,2023-07-16,Kaggle_Developers_Salaries_in_2024
frontend developer | vue.js,0.0,5000,EGP,EGP,5000.0,5000.0,On Site,mansoura,2024-01-01,Kaggle_Developers_Salaries_in_2024
mern full stack developer,0.6000000000000001,10000,EGP,EGP,10000.0,10000.0,Remotley,america,2024-02-19,Kaggle_Developers_Salaries_in_2024
frontend developer,4.0,75000,EGP,EGP,75000.0,75000.0,Hybird,,2024-01-30,Kaggle_Developers_Salaries_in_2024
.net developer,0.2,6000,EGP,EGP,6000.0,6000.0,On Site,mansoura,2024-02-29,Kaggle_Developers_Salaries_in_2024
react developer,1.0,15000,EGP,EGP,15000.0,15000.0,Remotley,cairo,2024-03-01,Kaggle_Developers_Salaries_in_2024
full stack developer,2.0,5000,EGP,EGP,5000.0,5000.0,Remotley,cairo,2024-02-28,Kaggle_Developers_Salaries_in_2024
.net developer,1.0,9000,EGP,EGP,9000.0,9000.0,Hybird,benha,2024-01-30,Kaggle_Developers_Salaries_in_2024
data analyst,1.0,6000,EGP,EGP,6000.0,6000.0,On Site,banha,2024-01-01,Kaggle_Developers_Salaries_in_2024
bi developer,1.0,8850,EGP,EGP,8850.0,8850.0,On Site,6 october,2024-01-01,Kaggle_Developers_Salaries_in_2024
full stack developer (mern),2.0,20000,EGP,EGP,20000.0,20000.0,Remotley,india,2024-01-01,Kaggle_Developers_Salaries_in_2024
full stack developer,3.0,21000,EGP,EGP,21000.0,21000.0,Hybird,cairo,2024-02-19,Kaggle_Developers_Salaries_in_2024
backend .netasp,1.0,12000,EGP,EGP,12000.0,12000.0,On Site,cairo,2024-03-01,Kaggle_Developers_Salaries_in_2024
data engineer,1.0,18000,EGP,EGP,18000.0,18000.0,Hybird,"cairo, riyadh",2024-02-19,Kaggle_Developers_Salaries_in_2024
android developer,1.5,9000,EGP,EGP,9000.0,9000.0,Remotley,cairo,2022-10-10,Kaggle_Developers_Salaries_in_2024
php,0.0,8000,EGP,EGP,8000.0,8000.0,On Site,,2023-01-25,Kaggle_Developers_Salaries_in_2024
data analyst,3.0,4500,EGP,EGP,4500.0,4500.0,On Site,cairo,2024-02-19,Kaggle_Developers_Salaries_in_2024
ios developer,1.0,12000,EGP,EGP,12000.0,12000.0,Hybird,cairo,2023-11-01,Kaggle_Developers_Salaries_in_2024
.net developer,1.0,8000,EGP,EGP,8000.0,8000.0,On Site,mansoura,2023-11-01,Kaggle_Developers_Salaries_in_2024
data scientist,0.0,25000,EGP,EGP,25000.0,25000.0,On Site,,2023-11-20,Kaggle_Developers_Salaries_in_2024
asp .net and angular software engineer,2.0,12000,EGP,EGP,12000.0,12000.0,On Site,cairo,2023-04-24,Kaggle_Developers_Salaries_in_2024
ai engineer,6.0,2800,EGP,EGP,2800.0,2800.0,Remotley,bangladish,2001-01-01,Kaggle_Developers_Salaries_in_2024
iot embedded software engineer engineer,2.0,9000,EGP,EGP,9000.0,9000.0,On Site,cairo,2024-02-19,Kaggle_Developers_Salaries_in_2024
business intelligence engineer,2.0,27500,EGP,EGP,27500.0,27500.0,Hybird,new cairo,2024-01-25,Kaggle_Developers_Salaries_in_2024
frontend developer,7.0,65000,EGP,EGP,65000.0,65000.0,On Site,smart villages,2024-02-19,Kaggle_Developers_Salaries_in_2024
c++ developer,2.0,25000,EGP,EGP,25000.0,25000.0,Remotley,"uae, abu dhabi",2024-02-19,Kaggle_Developers_Salaries_in_2024
php developer,1.0,7000,EGP,EGP,7000.0,7000.0,Hybird,tanta,2024-02-19,Kaggle_Developers_Salaries_in_2024
.net developer,0.0,10000,EGP,EGP,10000.0,10000.0,Remotley,dubai,2024-02-19,Kaggle_Developers_Salaries_in_2024
