job_title,experience_years,salary_mid,work_mode,city,salary_date,source_name
backend engineer,5.0,41912.5,Hybrid,Cairo,2024-04-02 11:10:37,Kaggle_EgyTech_participants_data
frontend engineer,3.0,20000.0,Hybrid,Cairo,2024-04-02 11:12:13,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,42000.0,Remote/Egypt,Cairo,2024-04-02 11:15:17,Kaggle_EgyTech_participants_data
backend engineer,1.0,16000.0,Hybrid,Alexandria,2024-04-02 11:18:12,Kaggle_EgyTech_participants_data
backend engineer,2.0,100590.0,Hybrid,No site in Egypt,2024-04-02 11:19:20,Kaggle_EgyTech_participants_data
backend engineer,3.0,16000.0,Hybrid,Cairo,2024-04-02 11:19:33,Kaggle_EgyTech_participants_data
data analytics,3.0,30000.0,Hybrid,Cairo,2024-04-02 11:19:56,Kaggle_EgyTech_participants_data
frontend engineer,3.0,25500.0,Hybrid,Cairo,2024-04-02 11:20:35,Kaggle_EgyTech_participants_data
backend engineer,2.0,12500.0,Office,Cairo,2024-04-02 11:21:56,Kaggle_EgyTech_participants_data
backend engineer,0.0,24000.0,Hybrid,Cairo,2024-04-02 11:22:22,Kaggle_EgyTech_participants_data
engineering manager,8.0,140000.0,Hybrid,Cairo,2024-04-02 11:22:31,Kaggle_EgyTech_participants_data
backend engineer,1.0,19635.0,Hybrid,Cairo,2024-04-02 11:23:31,Kaggle_EgyTech_participants_data
devops / sre / platform,4.0,62000.0,Hybrid,Cairo,2024-04-02 11:25:39,Kaggle_EgyTech_participants_data
backend engineer,3.0,38500.0,Hybrid,Cairo,2024-04-02 11:25:44,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,47900.0,Remote/Egypt,Cairo,2024-04-02 11:26:01,Kaggle_EgyTech_participants_data
data scientist,1.0,10000.0,Hybrid,Cairo,2024-04-02 11:27:12,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,50000.0,Hybrid,Cairo,2024-04-02 11:27:20,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,15000.0,Hybrid,Cairo,2024-04-02 11:28:28,Kaggle_EgyTech_participants_data
backend engineer,4.0,47000.0,Hybrid,Cairo,2024-04-02 11:29:51,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,33000.0,Hybrid,Cairo,2024-04-02 11:30:10,Kaggle_EgyTech_participants_data
data scientist,1.0,14500.0,Remote/Egypt,Cairo,2024-04-02 11:30:34,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,20166.0,Remote/Egypt,Cairo,2024-04-02 11:30:39,Kaggle_EgyTech_participants_data
backend engineer,2.0,30000.0,Remote/Egypt,Cairo,2024-04-02 11:30:51,Kaggle_EgyTech_participants_data
embedded systems engineer,5.0,120468.5,Hybrid,Cairo,2024-04-02 11:31:56,Kaggle_EgyTech_participants_data
frontend engineer,2.0,10000.0,Remote/Egypt,Cairo,2024-04-02 11:31:57,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,36000.0,Hybrid,Cairo,2024-04-02 11:32:29,Kaggle_EgyTech_participants_data
embedded systems engineer,1.0,53000.0,Hybrid,Cairo,2024-04-02 11:32:35,Kaggle_EgyTech_participants_data
backend engineer,0.0,20000.0,Remote/Egypt,Cairo,2024-04-02 11:32:43,Kaggle_EgyTech_participants_data
backend engineer,1.0,15000.0,Hybrid,Cairo,2024-04-02 11:33:05,Kaggle_EgyTech_participants_data
data engineer,2.0,34000.0,Hybrid,Cairo,2024-04-02 11:34:07,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17000.0,Hybrid,Cairo,2024-04-02 11:35:50,Kaggle_EgyTech_participants_data
frontend engineer,5.0,17500.0,Remote/Egypt,Cairo,2024-04-02 11:36:35,Kaggle_EgyTech_participants_data
backend engineer,6.0,100590.0,Hybrid,Cairo,2024-04-02 11:37:19,Kaggle_EgyTech_participants_data
