job_title,experience_years,salary_original,currency_detected,salary_original_numeric,salary_mid,work_mode,city,salary_date,source_name
dotnet developer,2.0,8000,EGP,8000.0,8000.0,Hybird,Cairo,2024-02-01,Kaggle_egyptian_salaries_2024
android developer,1.0,10000,EGP,10000.0,10000.0,Hybird,Cairo,2024-02-20,Kaggle_egyptian_salaries_2024
devops engineer,0.08,10000,EGP,10000.0,10000.0,On Site,Assiut,2024-02-19,Kaggle_egyptian_salaries_2024
java,1.0,20000,EGP,20000.0,20000.0,On Site,Cairo,2024-02-19,Kaggle_egyptian_salaries_2024
r&d computer vision,1.0,15000,EGP,15000.0,15000.0,Remotley,Cairo,2023-07-16,Kaggle_egyptian_salaries_2024
frontend developer | vue.js,0.0,5000,EGP,5000.0,5000.0,On Site,Mansoura,2024-01-01,Kaggle_egyptian_salaries_2024
mearn full stack developer,0.5,10000,EGP,10000.0,10000.0,Remotley,America,2024-02-19,Kaggle_egyptian_salaries_2024
frontend developer,4.0,75000,EGP,75000.0,75000.0,Hybird,,2024-01-30,Kaggle_egyptian_salaries_2024
dot net developer,0.17,6000,EGP,6000.0,6000.0,On Site,Mansoura,2024-02-29,Kaggle_egyptian_salaries_2024
raact developer,1.0,15000,EGP,15000.0,15000.0,Remotley,Cairo,2024-03-01,Kaggle_egyptian_salaries_2024
full stack developer,2.0,5000,EGP,5000.0,5000.0,Remotley,Cairo,2024-02-28,Kaggle_egyptian_salaries_2024
.net developer,1.0,9000,EGP,9000.0,9000.0,Hybird,Benha,2024-01-30,Kaggle_egyptian_salaries_2024
data analysis,1.0,6000,EGP,6000.0,6000.0,On Site,Banha,2024-01-01,Kaggle_egyptian_salaries_2024
bi developer,1.0,"10000 gross, 8820 net",EGP,10000.0,10000.0,On Site,6 October,2024-01-01,Kaggle_egyptian_salaries_2024
full stack developer (mern),2.0,20000,EGP,20000.0,20000.0,Remotley,India,2024-01-01,Kaggle_egyptian_salaries_2024
full stack developer,3.0,21,EGP,21.0,21.0,Hybird,Cairo,2024-02-19,Kaggle_egyptian_salaries_2024
backend .netasp,1.0,8000-12000,EGP,10000.0,10000.0,On Site,Cairo,2024-03-01,Kaggle_egyptian_salaries_2024
data engineer,1.0,18k egp,EGP,18000.0,18000.0,Hybird,"Cairo, Riyadh",2024-02-19,Kaggle_egyptian_salaries_2024
1,1.0,1,EGP,1.0,1.0,On Site,,1-01-01,Kaggle_egyptian_salaries_2024
android developer,1.5,9,EGP,9.0,9.0,Remotley,Cairo,2022-10-10,Kaggle_egyptian_salaries_2024
php,0.0,8000,EGP,8000.0,8000.0,On Site,,2023-01-25,Kaggle_egyptian_salaries_2024
data analyst,3.0,4500,EGP,4500.0,4500.0,On Site,Cairo,2024-02-19,Kaggle_egyptian_salaries_2024
ios developer,1.0,12000,EGP,12000.0,12000.0,Hybird,Cairo,2023-11-01,Kaggle_egyptian_salaries_2024
dot net developer,1.0,8000,EGP,8000.0,8000.0,On Site,Mansoura,2023-11-01,Kaggle_egyptian_salaries_2024
data scientist,0.0,25000 gross,EGP,25000.0,25000.0,On Site,,2023-11-20,Kaggle_egyptian_salaries_2024
asp dot net and angular software engineer,2.0,12000,EGP,12000.0,12000.0,On Site,Cairo,2023-04-24,Kaggle_egyptian_salaries_2024
ai engineer,6.0,2800 LE,EGP,2800.0,2800.0,Remotley,Bangladish,2001-01-01,Kaggle_egyptian_salaries_2024
iot embedded sw engineer,2.0,9000,EGP,9000.0,9000.0,On Site,cairo,2024-02-19,Kaggle_egyptian_salaries_2024
business intelligence engineer,2.0,27500,EGP,27500.0,27500.0,Hybird,New Cairo,2024-01-25,Kaggle_egyptian_salaries_2024
sr. front end developer,7.0,65000,EGP,65000.0,65000.0,On Site,Smart Villages,2024-02-19,Kaggle_egyptian_salaries_2024
c++ developer,2.0,25000,EGP,25000.0,25000.0,Remotley,"UAE, Abu Dhabi",2024-02-19,Kaggle_egyptian_salaries_2024
php developer,1.0,7000,EGP,7000.0,7000.0,Hybird,tanta,2024-02-19,Kaggle_egyptian_salaries_2024
dot net developer,0.0,10000,EGP,10000.0,10000.0,Remotley,dubai,2024-02-19,Kaggle_egyptian_salaries_2024
data scientist,1.0,16k net,EGP,16000.0,16000.0,Hybird,Cairo,2024-01-25,Kaggle_egyptian_salaries_2024
computer science instructor,1.0,9200,EGP,9200.0,9200.0,Remotley,cairo,2023-03-19,Kaggle_egyptian_salaries_2024
full stack .net | angular | mssql,0.0,6000,EGP,6000.0,6000.0,Remotley,,2024-01-07,Kaggle_egyptian_salaries_2024
