job_title,experience_years,salary_mid,work_mode,city,salary_date,source_name
Dotnet Developer,2.0,8000.0,Hybird,Cairo,2024-02-01,Kaggle_Egyptian_Salaries_2024
Android Developer,1.0,10000.0,Hybird,Cairo,2024-02-20,Kaggle_Egyptian_Salaries_2024
DevOps Engineer,0.08,10000.0,On Site,Assiut,2024-02-19,Kaggle_Egyptian_Salaries_2024
Java,1.0,20000.0,On Site,Cairo,2024-02-19,Kaggle_Egyptian_Salaries_2024
R&D computer vision,1.0,15000.0,Remotley,Cairo,2023-07-16,Kaggle_Egyptian_Salaries_2024
Frontend Developer | Vue.js,0.0,5000.0,On Site,Mansoura,2024-01-01,Kaggle_Egyptian_Salaries_2024
Mearn Full stack developer,0.5,10000.0,Remotley,America,2024-02-19,Kaggle_Egyptian_Salaries_2024
Frontend developer,4.0,75000.0,Hybird,,2024-01-30,Kaggle_Egyptian_Salaries_2024
Dot net developer,0.17,6000.0,On Site,Mansoura,2024-02-29,Kaggle_Egyptian_Salaries_2024
raact developer,1.0,15000.0,Remotley,Cairo,2024-03-01,Kaggle_Egyptian_Salaries_2024
Full Stack developer,2.0,5000.0,Remotley,Cairo,2024-02-28,Kaggle_Egyptian_Salaries_2024
.NET Developer,1.0,9000.0,Hybird,Benha,2024-01-30,Kaggle_Egyptian_Salaries_2024
Data Analysis,1.0,6000.0,On Site,Banha,2024-01-01,Kaggle_Egyptian_Salaries_2024
Full Stack Developer (MERN),2.0,20000.0,Remotley,India,2024-01-01,Kaggle_Egyptian_Salaries_2024
Full Stack developer,3.0,21.0,Hybird,Cairo,2024-02-19,Kaggle_Egyptian_Salaries_2024
1,1.0,1.0,On Site,,1-01-01,Kaggle_Egyptian_Salaries_2024
Android developer,15.0,9.0,Remotley,Cairo,2022-10-10,Kaggle_Egyptian_Salaries_2024
php,0.0,8000.0,On Site,,2023-01-25,Kaggle_Egyptian_Salaries_2024
Data Analyst,3.0,4500.0,On Site,Cairo,2024-02-19,Kaggle_Egyptian_Salaries_2024
iOS developer,1.0,12000.0,Hybird,Cairo,2023-11-01,Kaggle_Egyptian_Salaries_2024
Dot net developer,1.0,8000.0,On Site,Mansoura,2023-11-01,Kaggle_Egyptian_Salaries_2024
Asp dot net and Angular Software Engineer,2.0,12000.0,On Site,Cairo,2023-04-24,Kaggle_Egyptian_Salaries_2024
IoT embedded SW engineer,2.0,9000.0,On Site,cairo,2024-02-19,Kaggle_Egyptian_Salaries_2024
Business intelligence Engineer,2.0,27500.0,Hybird,New Cairo,2024-01-25,Kaggle_Egyptian_Salaries_2024
Sr. Front End Developer,7.0,65000.0,On Site,Smart Villages,2024-02-19,Kaggle_Egyptian_Salaries_2024
C++ Developer,2.0,25000.0,Remotley,"UAE, Abu Dhabi",2024-02-19,Kaggle_Egyptian_Salaries_2024
PHP Developer,1.0,7000.0,Hybird,tanta,2024-02-19,Kaggle_Egyptian_Salaries_2024
dot net developer,0.0,10000.0,Remotley,dubai,2024-02-19,Kaggle_Egyptian_Salaries_2024
computer science instructor,1.0,9200.0,Remotley,cairo,2023-03-19,Kaggle_Egyptian_Salaries_2024
Full Stack .NET | Angular | MSSQL,0.0,6000.0,Remotley,,2024-01-07,Kaggle_Egyptian_Salaries_2024
Backend developer,0.0,10000.0,On Site,Cairo,2024-01-01,Kaggle_Egyptian_Salaries_2024
.Net Developer,3.0,12000.0,Remotley,,2024-01-01,Kaggle_Egyptian_Salaries_2024
Android,4.0,22.0,Hybird,,2019-02-19,Kaggle_Egyptian_Salaries_2024
Flutter developer,3.0,10000.0,Hybird,giza,2024-02-19,Kaggle_Egyptian_Salaries_2024
Senior Test Engineer,3.0,34000.0,Hybird,,2024-02-01,Kaggle_Egyptian_Salaries_2024
junior software tester,1.0,5000.0,On Site,cairo,2023-11-13,Kaggle_Egyptian_Salaries_2024
Senior backend .netdeveloper,3.0,32000.0,On Site,Cairo,2024-02-01,Kaggle_Egyptian_Salaries_2024
Android Developer,15.0,15000.0,Hybird,Cairo Egypt,2023-08-01,Kaggle_Egyptian_Salaries_2024
Laravel developer,0.25,8000.0,Remotley,Cairo,2024-02-02,Kaggle_Egyptian_Salaries_2024
