Timestamp,Gender,Degree,BusinessMarket,Title,ProgrammingLanguages,BusinessSize,Yoe,YoeBuckets,BusinessFocus,TotalCompensationEgp,BusinessLine,TotalCompensationEgpBuckets,Industries,WorkSetting,Level,IsEgp,CompanyLocation
4/2/2024 11:10:37,Male,Yes,,Backend Engineer,"PHP, JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,5.0,5-8,Software House,41912.5,B2B & B2C lines,40-50K,"Fintech, Technology",Hybrid,Mid-level,No,Cairo
4/2/2024 11:12:13,Male,Yes,,Frontend Engineer,"TypeScript, HTML/CSS",A Small and Medium Enterprise,3.0,1-3,Product-based company,20000.0,B2B,18-21K,Human Resources Services,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:15:17,Female,Yes,Global,UI/UX Designer/Engineer,,A Small and Medium Enterprise,3.0,1-3,Product-based company,42000.0,B2B,40-50K,Technology,Remote/Egypt,Mid-level,Yes,Cairo
4/2/2024 11:18:12,Male,Yes,,Backend Engineer,"PHP, JavaScript",A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,16000.0,B2B,15-18K,Lead Gathering,Hybrid,Junior,Yes,Alexandria
4/2/2024 11:19:20,Male,Yes,,Backend Engineer,"JavaScript, TypeScript",A Start-up,2.0,1-3,Product-based company,100590.0,B2B & B2C lines,100-120K,"Automotive, Transportation",Hybrid,Senior,No,No site in Egypt
4/2/2024 11:19:33,Male,Yes,,Backend Engineer,Python,A Start-up,3.0,1-3,Product-based company,16000.0,B2C,15-18K,"Fintech, Technology",Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:19:56,Male,Yes,Local,Data Analytics,"JPava, Python, C/C++, R, SQL",A Start-up,3.0,3-5,Product-based company,30000.0,B2C,30-35K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:20:35,Male,No,,Frontend Engineer,JavaScript,A Start-up,3.0,3-5,Product-based company,25500.0,B2B,25-30K,Fintech,Hybrid,Senior,Yes,Cairo
4/2/2024 11:21:56,Male,Yes,,Backend Engineer,"C#, JavaScript",A Small and Medium Enterprise,2.0,1-3,Product-based company,12500.0,B2B,12-15K,Facility management,Office,Junior,Yes,Cairo
4/2/2024 11:22:22,Male,No,Global,Backend Engineer,JPava,A Large Enterprise/Multinational Company,0.0,0-1,Product-based company,24000.0,B2C,21-25K,"Telecommunications, Education",Hybrid,Junior,Yes,Cairo
4/2/2024 11:22:31,Male,Yes,,Engineering Manager,,A Start-up,8.0,8-10,Product-based company,140000.0,B2B,140-160K,"Fintech, Human Resources Services",Hybrid,Manager,Yes,Cairo
4/2/2024 11:23:31,Male,Yes,Global,Backend Engineer,"Python, Go",A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,19635.0,B2B & B2C lines,18-21K,Telecommunications,Hybrid,Junior,Yes,Cairo
4/2/2024 11:25:39,Male,Yes,Global,DevOps / SRE / Platform,"JavaScript, Python",A Large Enterprise/Multinational Company,4.0,3-5,Product-based company,62000.0,B2B & B2C lines,60-70K,"Telecommunications, Technology",Hybrid,Senior,Yes,Cairo
4/2/2024 11:25:44,Female,Yes,Global,Backend Engineer,Go,A Large Enterprise/Multinational Company,3.0,3-5,Product-based company,38500.0,B2B,35-40K,Telecommunications,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:26:01,Male,Yes,Global,Full-stack Engineer,C#,A Small and Medium Enterprise,3.0,3-5,Software House,47900.0,B2B & B2C lines,40-50K,,Remote/Egypt,Mid-level,No,Cairo
4/2/2024 11:27:12,Male,No,Local,Data Scientist,Python,A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,10000.0,B2B & B2C lines,9-12K,Banking and finance,Hybrid,Junior,Yes,Cairo
4/2/2024 11:27:20,Male,Yes,Global,Full-stack Engineer,"JavaScript, Python, TypeScript",A Large Enterprise/Multinational Company,2.0,1-3,Product-based company,50000.0,B2C,50-60K,Technology,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:28:28,Female,Yes,,Full-stack Engineer,"JavaScript, Python, HTML/CSS",A Small and Medium Enterprise,0.0,0-1,Product-based company,15000.0,B2B,15-18K,Market Research,Hybrid,Junior,Yes,Cairo
4/2/2024 11:29:51,Female,Yes,Global,Backend Engineer,Python,A Small and Medium Enterprise,4.0,3-5,Product-based company,47000.0,B2B & B2C lines,40-50K,Insurance,Hybrid,Senior,Yes,Cairo
4/2/2024 11:30:10,Male,Yes,Global,QA / SDET Engineer,JPava,A Large Enterprise/Multinational Company,1.0,1-3,Software House,33000.0,B2B,30-35K,Automotive,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:30:34,Male,Yes,,Data Scientist,"Python, R",A Start-up,1.0,1-3,Software House,14500.0,B2B,12-15K,"Fintech, Delivery, Transportation, Telecommunications, Technology",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:30:39,Female,Yes,Regional,DevOps / SRE / Platform,Python,A Small and Medium Enterprise,1.0,1-3,Product-based company,20166.0,B2B,18-21K,"Healthcare, Telecommunications, Government",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:30:51,Male,Yes,,Backend Engineer,"JavaScript, Python, TypeScript",A Start-up,2.0,1-3,Product-based company,30000.0,B2B,30-35K,Technology,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:31:56,Female,No,Global,Embedded Systems Engineer,"Python, C/C++, Matlab",A Small and Medium Enterprise,5.0,3-5,Software House,120468.5,B2B,120-140K,"Telecommunications, Semiconductor",Hybrid,Senior,No,Cairo
4/2/2024 11:31:57,Male,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,2.0,1-3,Software House,10000.0,B2B,9-12K,"Education, Law",Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:32:29,Male,Yes,Local,Full-stack Engineer,TypeScript,A Start-up,2.0,1-3,Product-based company,36000.0,B2B & B2C lines,35-40K,Fintech,Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:32:35,Male,Yes,Global,Embedded Systems Engineer,"Python, C/C++",A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,53000.0,B2C,50-60K,"Automotive, Technology",Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:32:43,Male,No,,Backend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,0.0,0-1,Software House,20000.0,B2B & B2C lines,18-21K,Governmental Services,Remote/Egypt,Junior,Yes,Cairo
4/2/2024 11:33:05,Male,Yes,Regional,Backend Engineer,"JavaScript, TypeScript",A Start-up,1.0,1-3,Product-based company,15000.0,B2B,15-18K,Real estate,Hybrid,Junior,Yes,Cairo
4/2/2024 11:34:07,Male,Yes,Global,Data Engineer,"JPava, Python",A Large Enterprise/Multinational Company,2.0,1-3,Product-based company,34000.0,B2B & B2C lines,30-35K,"Fintech, Telecommunications",Hybrid,Mid-level,Yes,Cairo
4/2/2024 11:35:50,Male,No,Regional,DevOps / SRE / Platform,"JPava, Python,",A Large Enterprise/Multinational Company,1.0,1-3,Product-based company,17000.0,B2B & B2C lines,15-18K,Fintech,Hybrid,Junior,Yes,Cairo
4/2/2024 11:36:35,Male,Yes,Regional,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,5.0,5-8,Product-based company,17500.0,B2B & B2C lines,15-18K,"Fintech, Technology",Remote/Egypt,Senior,Yes,Cairo
4/2/2024 11:37:19,Male,Yes,,Backend Engineer,"JPava, PHP, JavaScript, Go, TypeScript",A Small and Medium Enterprise,6.0,5-8,Product-based company,100590.0,B2C,100-120K,Fintech,Hybrid,Senior,No,Cairo
4/2/2024 11:37:32,Male,Yes,,Backend Engineer,"PHP, C/C++",A Start-up,2.0,1-3,Product-based company,20500.0,B2B,18-21K,Human Resources Services,Hybrid,Junior,Yes,Cairo
4/2/2024 11:37:46,Male,Yes,,Frontend Engineer,"JavaScript, TypeScript, HTML/CSS,",A Start-up,5.0,5-8,Product-based company,110170.0,B2B & B2C lines,100-120K,Food and Beverages,Hybrid,Senior,No,Cairo
