طابع زمني,Job Title ( Position ),Years of Experience: ,Company Type,Currency of Salary:,Monthly Salary:,Job Type:,Company Size:,Company Name:,Used Technology ,Additional Comments: 
12:59:12 ص 2023/08/20,Junior,1 to 2 years,Startup company,USD - United States Dollar,250$,Remote,,Vultara ,Angular ,
4:27:10 م 2023/08/20,Senior,5 to 7 years,Corporate company,EGP - Egyptian Pound,53000,Hybrid,51-200 employees,,front end react,
4:36:55 م 2023/08/20,Junior,1 to 2 years,Startup company,USD - United States Dollar,420 $,Remote,1-50 employees,Technomedic ,React,
4:52:12 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,7000,Onsite,1-50 employees,,React,
5:10:39 م 2023/08/20,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,27k,Hybrid,201+ employees,Dsquares,React,
5:13:33 م 2023/08/20,Senior,+7 years,Corporate company,EGP - Egyptian Pound,38000,Hybrid,201+ employees,_vois,Angular,
5:25:59 م 2023/08/20,Senior,5 to 7 years,Startup company,USD - United States Dollar,2600,Remote,51-200 employees,,React Native,
5:30:59 م 2023/08/20,Junior,Less than 1 year,Corporate company,EGP - Egyptian Pound,7000,Onsite,1-50 employees,,Angular ,
5:33:37 م 2023/08/20,Junior,1 to 2 years,Startup company,USD - United States Dollar,530,Remote,1-50 employees,,Vue,
5:43:12 م 2023/08/20,Senior,3 to 5 years,Corporate company,USD - United States Dollar,500,Remote,1-50 employees,,Next,
5:45:13 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,10000,Remote,1-50 employees,,Angular,
5:57:49 م 2023/08/20,Junior,1 to 2 years,Startup company,USD - United States Dollar,600,Onsite,1-50 employees,,React,
6:02:41 م 2023/08/20,Junior,2 to 3 years,Startup company,USD - United States Dollar,1200,Remote,51-200 employees,Squadio,Frontend (Angular),
6:08:59 م 2023/08/20,Mid Sernior,1 to 2 years,Startup company,EGP - Egyptian Pound,7500,Hybrid,1-50 employees,jsftek,wordpress,
6:18:54 م 2023/08/20,Mid Sernior,2 to 3 years,Startup company,EGP - Egyptian Pound,16000,Remote,201+ employees,bosta,React,
6:19:24 م 2023/08/20,Junior,Less than 1 year,Tech company ,EGP - Egyptian Pound,7500,Remote,1-50 employees,,Wordpress and a little angular,
6:27:23 م 2023/08/20,Mid Sernior,2 to 3 years,Startup company,USD - United States Dollar,1000 USD,Remote,51-200 employees,,,
6:32:12 م 2023/08/20,Mid Sernior,3 to 5 years,Startup company,EGP - Egyptian Pound,20000,Remote,1-50 employees,SpimeSenseLabs ,React,
6:33:06 م 2023/08/20,Mid Sernior,5 to 7 years,Corporate company,USD - United States Dollar,1000,Remote,201+ employees,Netways,Angular and ionic,
6:34:53 م 2023/08/20,Senior,3 to 5 years,Startup company,USD - United States Dollar,1200 USD,Remote,1-50 employees,,"React, Typescript ",
6:36:01 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,11839,Onsite,51-200 employees,Damen,React,
6:36:36 م 2023/08/20,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,7500,Onsite,1-50 employees,,Angular & React,
6:37:44 م 2023/08/20,Junior,Less than 1 year,Freelancer,EGP - Egyptian Pound,6000,Remote,1-50 employees,Freelancing,React,
6:38:55 م 2023/08/20,Mid Sernior,1 to 2 years,Corporate company,USD - United States Dollar,550,Remote,51-200 employees,,Vue,
6:42:11 م 2023/08/20,Senior,3 to 5 years,Out Source company,EGP - Egyptian Pound,11000,Hybrid,1-50 employees,Worex Technology,React,
6:43:09 م 2023/08/20,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,33k,Hybrid,201+ employees,,React,
6:43:54 م 2023/08/20,Senior,3 to 5 years,Corporate company,SAR - Saudi Riyal,23000,Onsite,51-200 employees,Thi ... ,React . angular ,
6:47:19 م 2023/08/20,Mid Sernior,1 to 2 years,Startup company,EGP - Egyptian Pound,10000,Remote,1-50 employees,,React ,
6:50:37 م 2023/08/20,Senior,5 to 7 years,Corporate company,EGP - Egyptian Pound,30000,Hybrid,201+ employees,VOIS,React,
6:53:18 م 2023/08/20,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,18000,Hybrid,201+ employees,,"React, Vue",
6:54:08 م 2023/08/20,Mid Sernior,3 to 5 years,Startup company,USD - United States Dollar,2000,Remote,51-200 employees,,React,
7:07:34 م 2023/08/20,Mid Sernior,2 to 3 years,Out Source company,EGP - Egyptian Pound,18000,Hybrid,201+ employees,VOIS,React ,
7:07:44 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,6000,Hybrid,1-50 employees,Business sense corp,Angular,
7:10:16 م 2023/08/20,Junior,Less than 1 year,لسه ما اشتغلتش,كسالاري متوقع  ممن ٧ ل٩ ,7000,Onsite,1-50 employees,,angular,معنديش احلى مسا عليكو  للتواصل ولو في فرصة تدريب ده  رقمي 😁 01098309021
7:10:27 م 2023/08/20,Mid Sernior,2 to 3 years,Startup company,USD - United States Dollar,1300,Hybrid,51-200 employees,Stella Stays,React,
7:12:15 م 2023/08/20,Senior,+7 years,Corporate company,USD - United States Dollar,2800,Remote,51-200 employees,,Angular,
7:13:46 م 2023/08/20,Junior,Less than 1 year,Digital marketing ,EGP - Egyptian Pound,8000,Onsite,1-12 employees,Privacy,Angular ,
7:49:10 م 2023/08/20,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,25000,Onsite,201+ employees,,,
7:49:50 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,8000,Onsite,1-50 employees,,,
7:50:57 م 2023/08/20,Mid Sernior,1 to 2 years,Startup company,EGP - Egyptian Pound,14,Remote,1-50 employees,,,
7:52:45 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,7000,Hybrid,1-50 employees,Accura group,"Frontend ( react , html , css , js, jquery, bootstrap,wordpress)",
7:55:28 م 2023/08/20,Senior,2 to 3 years,Corporate company,EGP - Egyptian Pound,17000,Hybrid,51-200 employees,,Angular ,
7:57:58 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,21,Hybrid,201+ employees,VOIS,React,
7:58:08 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,7000,Onsite,1-50 employees,,React,
8:06:08 م 2023/08/20,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,29000,Hybrid,201+ employees,Vois,Frontend,
8:07:45 م 2023/08/20,Mid Sernior,1 to 2 years,Corporate company,EGP - Egyptian Pound,16000,Hybrid,201+ employees,,Angular,
8:07:46 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,25,Hybrid,1-50 employees,Not recommended ,Angular,
8:09:07 م 2023/08/20,Junior,Less than 1 year,Startup company,EGP - Egyptian Pound,2500,Onsite,1-50 employees,Digital Lines Development,React but in work i never used framework for now,
8:09:10 م 2023/08/20,Mid Sernior,2 to 3 years,Corporate company,EGP - Egyptian Pound,23000,Hybrid,201+ employees,VOIS,Angular,
8:09:20 م 2023/08/20,Mid Sernior,3 to 5 years,Startup company,EGP - Egyptian Pound,25000,Hybrid,1-50 employees,,"React, vue, next",
8:09:57 م 2023/08/20,Mid Sernior,3 to 5 years,Corporate company,EGP - Egyptian Pound,20000,Hybrid,201+ employees,,"Angular, react",
8:16:21 م 2023/08/20,Internship,6 Months,Corporate company,SAR - Saudi Riyal,750,Remote,51-200 employees,Arcom,Angular,
8:20:50 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,7000,Hybrid,1-50 employees,,React,
8:25:25 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,7000,Onsite,1-50 employees,Na,Angular ,
8:27:30 م 2023/08/20,Junior,1 to 2 years,Startup company,EGP - Egyptian Pound,7000,Onsite,1-50 employees,NA,Angular ,Yes
8:32:15 م 2023/08/20,Junior,1 to 2 years,Corporate company,EGP - Egyptian Pound,8000,Remote,1-50 employees,CryptDev ,React,
8:33:16 م 2023/08/20,Senior,3 to 5 years,Corporate company,EGP - Egyptian Pound,35000,Remote,201+ employees,VOIS,"React, React Native",
