Title,Company,Location,Salary,Experience,Job_Type,Skills,URL
Senior Software Engineer - MS Dynamics CRM,Link Development,"Cairo, Egypt",Confidential,3 To 7 Years,N/A,CRM,https://wuzzuf.net/jobs/p/mixdk3ucypwx-senior-software-engineer-ms-dynamics-crm-link-development-cairo-egypt
Middle/Senior Full Stack PHP Developer,Vertex Technologies,"Cairo, Egypt",Confidential,More Than 3 Years,N/A,PHP,https://wuzzuf.net/jobs/p/p9ny7jpgnnj4-middlesenior-full-stack-php-developer-vertex-technologies-cairo-egypt
Automation & Internal Apps Engineer,Etisal EG,"New Cairo, Cairo",Confidential,0 To 3 Years,N/A,Automation Engineering,https://wuzzuf.net/jobs/p/dtrp4zb6hy5m-automation-internal-apps-engineer-etisal-eg-cairo-egypt
"Business Analyst - KSA, Dammam",Henkel,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Business Analysis,https://wuzzuf.net/saudi/jobs/p/g/svhw0vvidfi4-business-analyst-ksa-dammam-henkel-riyadh-saudi-arabia
Electrical Tender & Technical office Engineer,Allied Engineering & projects,"Mohandessin, Giza",Confidential,3 To 10 Years,N/A,Electrical,https://wuzzuf.net/jobs/p/ca1dpriewmdf-electrical-tender-technical-office-engineer-allied-engineering-projects-giza-egypt
Senior Electrical Engineer-Facilities Maintenance,Sheikh Shakhbout Medical City - SSMC,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Electrical Engineering,https://wuzzuf.net/jobs/p/g/pweak8nstn67-senior-electrical-engineer-facilities-maintenance-sheikh-shakhbout-medical-city-ssmc-dubai-united-arab-emirates
Business Development Representative (Remote),Keystone Recruitment,"Dubai, United Arab Emirates",Confidential,Not Specified,N/A,Business Development,https://wuzzuf.net/jobs/p/g/xoeoxdnf7rmd-business-development-representative-remote-keystone-recruitment-dubai-united-arab-emirates
Software Engineer - Solutions Engineering,Canonical,"Riyadh, Saudi Arabia",Confidential,Not Specified,N/A,Information Technology (IT),https://wuzzuf.net/saudi/jobs/p/g/mtpwdkqvjp3k-software-engineer-solutions-engineering-canonical-riyadh-saudi-arabia
Part-Time Mechanical/Process Engineer or Drafter (As-Built to BIM),Geopro,"Nasr City, Cairo",Confidential,2 To 7 Years,N/A,BIM Modeling,https://wuzzuf.net/jobs/p/zzs3jrzx6eyp-part-time-mechanicalprocess-engineer-or-drafter-as-built-to-bim-geopro-cairo-egypt
Software Engineer,Devency,"Nozha, Cairo",Confidential,2 To 4 Years,N/A,Software Development,https://wuzzuf.net/jobs/p/7vuimcrendnc-software-engineer-devency-cairo-egypt
