job_title,experience_years,salary_mid,source_name
.net developer,2,8000,Kaggle_Developers_Salaries_in_2024
android developer,0,6000,Kaggle_Developers_Salaries_in_2024
android developer,1,10000,Kaggle_Developers_Salaries_in_2024
devops engineer,0.1,10000,Kaggle_Developers_Salaries_in_2024
java developer,1,20000,Kaggle_Developers_Salaries_in_2024
r&d computer vision,1,15000,Kaggle_Developers_Salaries_in_2024
frontend developer | vue.js,0,5000,Kaggle_Developers_Salaries_in_2024
mern full stack developer,0.6,10000,Kaggle_Developers_Salaries_in_2024
frontend developer,4,75000,Kaggle_Developers_Salaries_in_2024
.net developer,0.2,6000,Kaggle_Developers_Salaries_in_2024
react developer,1,15000,Kaggle_Developers_Salaries_in_2024
full stack developer,2,5000,Kaggle_Developers_Salaries_in_2024
.net developer,1,9000,Kaggle_Developers_Salaries_in_2024
data analyst,1,6000,Kaggle_Developers_Salaries_in_2024
bi developer,1,8850,Kaggle_Developers_Salaries_in_2024
full stack developer (mern),2,20000,Kaggle_Developers_Salaries_in_2024
full stack developer,3,21000,Kaggle_Developers_Salaries_in_2024
backend .netasp,1,12000,Kaggle_Developers_Salaries_in_2024
data engineer,1,18000,Kaggle_Developers_Salaries_in_2024
android developer,1.5,9000,Kaggle_Developers_Salaries_in_2024
php,0,8000,Kaggle_Developers_Salaries_in_2024
data analyst,3,4500,Kaggle_Developers_Salaries_in_2024
ios developer,1,12000,Kaggle_Developers_Salaries_in_2024
.net developer,1,8000,Kaggle_Developers_Salaries_in_2024
data scientist,0,25000,Kaggle_Developers_Salaries_in_2024
asp .net and angular software engineer,2,12000,Kaggle_Developers_Salaries_in_2024
ai engineer,6,2800,Kaggle_Developers_Salaries_in_2024
iot embedded software engineer engineer,2,9000,Kaggle_Developers_Salaries_in_2024
business intelligence engineer,2,27500,Kaggle_Developers_Salaries_in_2024
frontend developer,7,65000,Kaggle_Developers_Salaries_in_2024
c++ developer,2,25000,Kaggle_Developers_Salaries_in_2024
php developer,1,7000,Kaggle_Developers_Salaries_in_2024
.net developer,0,10000,Kaggle_Developers_Salaries_in_2024
data scientist,1,16000,Kaggle_Developers_Salaries_in_2024
computer science instructor,1,9200,Kaggle_Developers_Salaries_in_2024
full stack .net | angular | mssql,0,6000,Kaggle_Developers_Salaries_in_2024
ml instructor for kids,0,220,Kaggle_Developers_Salaries_in_2024
.net developer,3,15000,Kaggle_Developers_Salaries_in_2024
backend developer,0,10000,Kaggle_Developers_Salaries_in_2024
.net developer,3,12000,Kaggle_Developers_Salaries_in_2024
android,4,22000,Kaggle_Developers_Salaries_in_2024
flutter developer,3,10000,Kaggle_Developers_Salaries_in_2024
test engineer,3,34000,Kaggle_Developers_Salaries_in_2024
software tester,1,5000,Kaggle_Developers_Salaries_in_2024
backend .net developer,3,32000,Kaggle_Developers_Salaries_in_2024
android developer,1.5,15000,Kaggle_Developers_Salaries_in_2024
laravel developer,0.3,8000,Kaggle_Developers_Salaries_in_2024
oracle developer,1,12000,Kaggle_Developers_Salaries_in_2024
java developer,0.3,8000,Kaggle_Developers_Salaries_in_2024
java developer,2.5,30000,Kaggle_Developers_Salaries_in_2024
angular developer,1,20000,Kaggle_Developers_Salaries_in_2024
web developer,1,35000,Kaggle_Developers_Salaries_in_2024
software engineer,2,18000,Kaggle_Developers_Salaries_in_2024
frontend developer,2,9000,Kaggle_Developers_Salaries_in_2024
mern stack developer,0.6,7000,Kaggle_Developers_Salaries_in_2024
full stack .net & angular,2.4,20000,Kaggle_Developers_Salaries_in_2024
android instructor,4,250,Kaggle_Developers_Salaries_in_2024
frontend developer angular,3,30000,Kaggle_Developers_Salaries_in_2024
.net full stack,1,15000,Kaggle_Developers_Salaries_in_2024
backend developer (node.js),2,10000,Kaggle_Developers_Salaries_in_2024
.net developer,4,36000,Kaggle_Developers_Salaries_in_2024
react developer,1.5,8000,Kaggle_Developers_Salaries_in_2024
data engineer,0,150000,Kaggle_Developers_Salaries_in_2024
.net developer,2,15000,Kaggle_Developers_Salaries_in_2024
full stack developer,3,6000,Kaggle_Developers_Salaries_in_2024
software engineer,0,2800,Kaggle_Developers_Salaries_in_2024
full stack developer,5,43000,Kaggle_Developers_Salaries_in_2024
