job_title,experience_years,salary_mid,source_name
backend engineer,5.0,41912.5,Kaggle_EgyTech_participants_data
frontend engineer,3.0,20000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,42000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,16000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,100590.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,16000.0,Kaggle_EgyTech_participants_data
data analytics,3.0,30000.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,25500.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,12500.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,24000.0,Kaggle_EgyTech_participants_data
engineering manager,8.0,140000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,19635.0,Kaggle_EgyTech_participants_data
devops / sre / platform,4.0,62000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,38500.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,47900.0,Kaggle_EgyTech_participants_data
data scientist,1.0,10000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,50000.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,15000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,47000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,33000.0,Kaggle_EgyTech_participants_data
data scientist,1.0,14500.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,20166.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,30000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,5.0,120468.5,Kaggle_EgyTech_participants_data
frontend engineer,2.0,10000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,36000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,1.0,53000.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,20000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,15000.0,Kaggle_EgyTech_participants_data
data engineer,2.0,34000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17000.0,Kaggle_EgyTech_participants_data
frontend engineer,5.0,17500.0,Kaggle_EgyTech_participants_data
backend engineer,6.0,100590.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,20500.0,Kaggle_EgyTech_participants_data
frontend engineer,5.0,110170.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,18000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,40000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,20000.0,Kaggle_EgyTech_participants_data
backend engineer,10.0,101500.0,Kaggle_EgyTech_participants_data
product owner,1.0,20000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,2.0,20000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,3.0,17700.0,Kaggle_EgyTech_participants_data
data engineer,1.0,25000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,25000.0,Kaggle_EgyTech_participants_data
mobile development engineer,4.0,95800.0,Kaggle_EgyTech_participants_data
engineering manager,19.0,70000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,28500.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,17000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,47000.0,Kaggle_EgyTech_participants_data
ui/ux designer/engineer,7.0,55000.0,Kaggle_EgyTech_participants_data
data engineer,1.0,20000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,8.0,112565.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,40000.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,13100.0,Kaggle_EgyTech_participants_data
mobile development engineer,3.0,23000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,33800.0,Kaggle_EgyTech_participants_data
data analytics,2.0,17750.0,Kaggle_EgyTech_participants_data
frontend engineer,8.0,147532.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,16000.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,110085.0,Kaggle_EgyTech_participants_data
data engineer,1.0,30000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,2.0,33000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,18000.0,Kaggle_EgyTech_participants_data
data engineer,1.0,15000.0,Kaggle_EgyTech_participants_data
"r&d engineer (computer vision, nlp, etc.)",2.0,18000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,33000.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,13000.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,12000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,7000.0,Kaggle_EgyTech_participants_data
mobile development engineer,5.0,38000.0,Kaggle_EgyTech_participants_data
data analytics,3.0,25000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,23000.0,Kaggle_EgyTech_participants_data
devops / sre / platform,1.0,17000.0,Kaggle_EgyTech_participants_data
backend engineer,6.0,46917.0,Kaggle_EgyTech_participants_data
data analytics,2.0,18202.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,13100.0,Kaggle_EgyTech_participants_data
frontend engineer,1.0,15000.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,32500.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,23950.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,20000.0,Kaggle_EgyTech_participants_data
backend engineer,9.0,55000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,21000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,30000.0,Kaggle_EgyTech_participants_data
data scientist,2.0,20000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,27000.0,Kaggle_EgyTech_participants_data
data scientist,1.0,22500.0,Kaggle_EgyTech_participants_data
backend engineer,4.0,45000.0,Kaggle_EgyTech_participants_data
full-stack engineer,1.0,8000.0,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,70000.0,Kaggle_EgyTech_participants_data
full-stack engineer,0.0,16000.0,Kaggle_EgyTech_participants_data
product owner,2.0,20000.0,Kaggle_EgyTech_participants_data
mobile development engineer,3.0,24000.0,Kaggle_EgyTech_participants_data
data analytics,3.0,16000.0,Kaggle_EgyTech_participants_data
frontend engineer,6.0,109212.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,12000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,23950.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,53000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,20000.0,Kaggle_EgyTech_participants_data
backend engineer,1.0,5000.0,Kaggle_EgyTech_participants_data
technical support,1.0,26000.0,Kaggle_EgyTech_participants_data
backend engineer,2.0,25000.0,Kaggle_EgyTech_participants_data
mobile development engineer,1.0,13000.0,Kaggle_EgyTech_participants_data
qa / sdet engineer,1.0,25000.0,Kaggle_EgyTech_participants_data
data scientist,3.0,18583.3,Kaggle_EgyTech_participants_data
data analytics,0.0,4000.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,16000.0,Kaggle_EgyTech_participants_data
data analytics,7.0,43500.0,Kaggle_EgyTech_participants_data
full-stack engineer,6.0,93220.0,Kaggle_EgyTech_participants_data
data analytics,2.0,30000.0,Kaggle_EgyTech_participants_data
full-stack engineer,3.0,16000.0,Kaggle_EgyTech_participants_data
backend engineer,6.0,70000.0,Kaggle_EgyTech_participants_data
technical support,1.0,20000.0,Kaggle_EgyTech_participants_data
frontend engineer,5.0,55000.0,Kaggle_EgyTech_participants_data
ai & automation engineer,2.0,40000.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,10000.0,Kaggle_EgyTech_participants_data
backend engineer,3.0,47900.0,Kaggle_EgyTech_participants_data
technical support,1.0,8000.0,Kaggle_EgyTech_participants_data
backend engineer,0.0,17166.66,Kaggle_EgyTech_participants_data
backend engineer,3.0,45000.0,Kaggle_EgyTech_participants_data
data engineer,5.0,77000.0,Kaggle_EgyTech_participants_data
frontend engineer,7.0,114145.7,Kaggle_EgyTech_participants_data
backend engineer,1.0,5000.0,Kaggle_EgyTech_participants_data
frontend engineer,2.0,12000.0,Kaggle_EgyTech_participants_data
embedded systems engineer,12.0,35000.0,Kaggle_EgyTech_participants_data
frontend engineer,3.0,68740.0,Kaggle_EgyTech_participants_data
full-stack engineer,2.0,64981.14,Kaggle_EgyTech_participants_data
frontend engineer,0.0,8000.0,Kaggle_EgyTech_participants_data
mobile development engineer,6.0,75000.0,Kaggle_EgyTech_participants_data
data scientist,0.0,30000.0,Kaggle_EgyTech_participants_data
product owner,3.0,25000.0,Kaggle_EgyTech_participants_data
systems architect,9.0,123000.0,Kaggle_EgyTech_participants_data
