job_title,experience_years,salary_mid,source_name
electrical sales engineer,5,37500.0,Wuzzuf
software engineer - data infrastructure - kafka,0,100000.0,Wuzzuf
engineering director / technical director,12,75000.0,Wuzzuf
mail & chat agent (b2 english speakers) e&uae.,0,16300.0,Wuzzuf
front end developer (angular),2,15000.0,Wuzzuf
planning engineer (electrical field),7,37500.0,Wuzzuf
senior mobile developer | flutter,4,72500.0,Wuzzuf
"software engineer (backend, quality-focused) vacancy in cairo, egypt",5,250000.0,Wuzzuf
electrical technical office engineer,4,18500.0,Wuzzuf
data analyst,4,22500.0,Wuzzuf
transportation engineer (traffic modeling),4,35000.0,Wuzzuf
financial collection supervisor,5,15000.0,Wuzzuf
projects sales engineer,1,12000.0,Wuzzuf
engineering manager - data platform,0,100000.0,Wuzzuf
mis analyst - bpo,1,22000.0,Wuzzuf
quality analyst- bpo,1,29000.0,Wuzzuf
"senior electrical engineer, technical office",5,26000.0,Wuzzuf
mechanical technical office engineer,3,15000.0,Wuzzuf
it specialist,3,11000.0,Wuzzuf
sw product manager,6,105000.0,Wuzzuf
machine learning engineer,1,130000.0,Wuzzuf
engineering manager - app stores,0,100000.0,Wuzzuf
supply chain optimization lead,5,45000.0,Wuzzuf
growth marketing & e-commerce lead (gcc fashion brand),5,22500.0,Wuzzuf
civil engineer,0,12500.0,Wuzzuf
"founding developer vacancy in hurghada, red sea",2,42500.0,Wuzzuf
embedded linux senior software engineer - optimisation,0,100000.0,Wuzzuf
dotnet lead with react role,5,125000.0,Wuzzuf
software quality assurance engineer / analyst,3,23750.0,Wuzzuf
staff design engineer - cloud networking ux,0,100000.0,Wuzzuf
"technical office engineer vacancy in heliopolis, cairo",0,11500.0,Wuzzuf
app developer,1,100000.0,Wuzzuf
senior full stack php laravel developer remote,4,45000.0,Wuzzuf
data engineer,1,12000.0,Wuzzuf
data scientist,2,38500.0,Wuzzuf
computer instructor,2,8250.0,Wuzzuf
developer,3,27500.0,Wuzzuf
production engineer,1,14000.0,Wuzzuf
"accounting supervisor vacancy in 10th of ramadan city, sharqia",0,10000.0,Wuzzuf
video editor,1,30000.0,Wuzzuf
php developer,1,12500.0,Wuzzuf
"webmaster digital marketing expert vacancy in hartford, united states",5,60000.0,Wuzzuf
software developer,1,100000.0,Wuzzuf
lead backend architect,8,50000.0,Wuzzuf
rta - wfm,1,21500.0,Wuzzuf
software engineer manager - python,6,130000.0,Wuzzuf
junior architectural designer,0,13500.0,Wuzzuf
barista,0,5750.0,Wuzzuf
id design engineer,0,25000.0,Wuzzuf
mis / data analyst,5,17500.0,Wuzzuf
mid level rest api django python developer,2,20000.0,Wuzzuf
it support engineer,1,61000.0,Wuzzuf
full-stack .net core and angular developer,5,55000.0,Wuzzuf
"software engineer vacancy in orlando, united states",2,100000.0,Wuzzuf
senior software engineer,4,35000.0,Wuzzuf
team leader sales engineer,5,25000.0,Wuzzuf
production engineer,5,22500.0,Wuzzuf
technical support engineer,3,10000.0,Wuzzuf
product designer,3,45000.0,Wuzzuf
forklift operator,2,16500.0,Wuzzuf
financial analyst,2,11500.0,Wuzzuf
odoo developer,2,37500.0,Wuzzuf
electrical engineer - supervisor,3,14000.0,Wuzzuf
technical office engineer – infrastructure projects,10,45000.0,Wuzzuf
senior technical office engineer - tender,7,30000.0,Wuzzuf
backend engineer (mid-level),3,35000.0,Wuzzuf
software development specialist,5,95000.0,Wuzzuf
react native mobile developer,2,13500.0,Wuzzuf
principal ai architect (optimization & decision intelligence),7,120000.0,Wuzzuf
mid level django backend developer,2,21500.0,Wuzzuf
technical recruiter / technical software engineer (hiring & candidate evaluation),3,75000.0,Wuzzuf
senior mechanical engineer,5,35000.0,Wuzzuf
software engineer,2,45000.0,Wuzzuf
odoo developer,3,17500.0,Wuzzuf
bookkeeping analyst i,0,14000.0,Wuzzuf
senior software quality engineer,4,42500.0,Wuzzuf
"ai-driven growth operator vacancy in red sea, egypt",5,117500.0,Wuzzuf
interior design engineer,2,12500.0,Wuzzuf
site engineer,5,15000.0,Wuzzuf
elv engineer (design & implementation),3,25000.0,Wuzzuf
architectural execution engineer,2,17500.0,Wuzzuf
light current engineer,3,22500.0,Wuzzuf
architecture technical office engineer,3,13500.0,Wuzzuf
quality control engineer,8,37500.0,Wuzzuf
service advisor engineer,4,12250.0,Wuzzuf
"vice president of product engineering, 2 hour learning (remote) - $400,000/year usd",0,10000.0,Wuzzuf
site engineer,3,19000.0,Wuzzuf
production engineering of wound dressing and medical plaster,5,37500.0,Wuzzuf
enterprise noc senior engineer,3,11000.0,Wuzzuf
site engineer,0,11000.0,Wuzzuf
architectural bim engineer,2,35000.0,Wuzzuf
site engineer,2,14000.0,Wuzzuf
maintenance & service engineer,0,9500.0,Wuzzuf
research and development engineer,3,12500.0,Wuzzuf
senior automation engineer,5,30000.0,Wuzzuf
production supervisor,5,17000.0,Wuzzuf
"researcher - english speaker vacancy in nasr city, cairo",1,16000.0,Wuzzuf
quality engineer,5,17500.0,Wuzzuf
senior mechanical design engineer,5,35000.0,Wuzzuf
senior electrical design engineer,5,51000.0,Wuzzuf
production manager,10,32500.0,Wuzzuf
architectural engineer,3,26500.0,Wuzzuf
junior help desk it specialist,0,11000.0,Wuzzuf
it -technical support engineer,2,6500.0,Wuzzuf
"production planner vacancy in 10th of ramadan city, sharqia",2,20000.0,Wuzzuf
network engineer,1,12500.0,Wuzzuf
javascript developer,5,92500.0,Wuzzuf
senior cloud / it systems architecture engineer,7,9000.0,Wuzzuf
