Title,Company,Clean_Location,Job_Type,Skills,Min_Experience_Years,Min_Salary,Max_Salary,Avg_Salary
Electrical Sales Engineer,WEG Electric (Egypt) LLC,Egypt,,Electrical Engineering,5,35000.0,40000.0,37500.0
Software Engineer - Data Infrastructure - Kafka,Canonical,Saudi Arabia,,Information Technology (IT),0,100000.0,100000.0,100000.0
Engineering Director / Technical Director,iLock,Dakahlia,,Project Management,12,50000.0,100000.0,75000.0
Mail & Chat Agent (B2 English Speakers) e&UAE.,Etisalat Egypt,Cairo,,Customer Service,0,13500.0,19100.0,16300.0
Front End Developer (Angular),InfoPeak Software,Egypt,,Angular,2,15000.0,15000.0,15000.0
Planning Engineer (Electrical Field),JFC GLORY,Egypt,,Project Scheduling,7,35000.0,40000.0,37500.0
Senior Mobile Developer | Flutter,MOWEEX Digital Solutions,Giza,,Flutter,4,65000.0,80000.0,72500.0
"Software Engineer (Backend, Quality-Focused) vacancy in Cairo, Egypt",,Unknown,,Python,5,200000.0,300000.0,250000.0
Electrical Technical Office Engineer,ASA for Electro-Mechanical works,Alexandria,,Electrical Design,4,12000.0,25000.0,18500.0
Data Analyst,HIGHBASE TRADING W.L.L,Egypt,,Data Analysis,4,20000.0,25000.0,22500.0
Transportation Engineer (Traffic Modeling),Seero,Cairo,,Traffic Engineering,4,30000.0,40000.0,35000.0
Financial Collection Supervisor,MOSANADAH FOR TRAINING & EDUCATION,Egypt,,Financial Accounting,5,12000.0,18000.0,15000.0
Projects Sales Engineer,Heatec Solutions,Cairo,,Project Sales,1,9000.0,15000.0,12000.0
Engineering Manager - Data Platform,Canonical,Saudi Arabia,,Engineering,0,100000.0,100000.0,100000.0
MIS Analyst - Bpo,Intouch CX,Cairo,,SQL,1,20000.0,24000.0,22000.0
Quality Analyst- BPO,Intouch CX,Giza,,Quality Assurance,1,28000.0,30000.0,29000.0
"Senior Electrical Engineer, Technical Office",Arcamax,Cairo,,AutoCAD,5,22000.0,30000.0,26000.0
Mechanical Technical Office Engineer,Heatec Solutions,Cairo,,Mechanical Design,3,10000.0,20000.0,15000.0
IT Specialist,Vero foods,Cairo,,IT Service Management,3,10000.0,12000.0,11000.0
SW Product Manager,Ignite Bytes,Egypt,,Product Management,6,100000.0,110000.0,105000.0
Machine Learning Engineer,StoryGold,United States,,Python,1,100000.0,160000.0,130000.0
Engineering Manager - App Stores,Canonical,Saudi Arabia,,Engineering,0,100000.0,100000.0,100000.0
